score,plaintext,segment,h,step,key
36.50,ATHERNAMECHAM, SHAPE TADH T,11x?,(2, 5),{' ': 'A', 'S': 'T', 'H': 'H', 'A': 'E', 'P': 'R', 'E': 'N', 'T': 'M', 'D': 'C'}
36.68,SINITSATIONST,HOTOYHCYODTHY,19x?,(1, 2),{'H': 'S', 'O': 'I', 'T': 'N', 'Y': 'T', 'C': 'A', 'D': 'O'}
36.78,NYINTHEINSINI,OCNOVBENOFNON,19x?,(1, 4),{'O': 'N', 'C': 'Y', 'N': 'I', 'V': 'T', 'B': 'H', 'E': 'E', 'F': 'S'}
37.00,YDETRANDTHEYD,ARITNGPRTLIAR,11x?,(2, 5),{'A': 'Y', 'R': 'D', 'I': 'E', 'T': 'T', 'N': 'R', 'G': 'A', 'P': 'N', 'L': 'H'}
37.10,LEDINTHEIRDLE,HETSDOAES THE,22x?,(2, 3),{'H': 'L', 'E': 'E', 'T': 'D', 'S': 'I', 'D': 'N', 'O': 'T', 'A': 'H', ' ': 'R'}
37.12,MHERETHERCEME,HRETESRETOEHE,17x?,(2, 3),{'H': 'M', 'R': 'H', 'E': 'E', 'T': 'R', 'S': 'T', 'O': 'C'}
37.13,GENDASANDINGN,TAEIRFREILETE,20x?,(1, 4),{'T': 'G', 'A': 'E', 'E': 'N', 'I': 'D', 'R': 'A', 'F': 'S', 'L': 'I'}
37.28,CHEEARTHERECH,HINN ATINANHI,22x?,(2, 3),{'H': 'C', 'I': 'H', 'N': 'E', ' ': 'A', 'A': 'R', 'T': 'T'}
37.78,TESTERWATESTA,TAETADLHTAETH,11x?,(1, 2),{'T': 'T', 'A': 'E', 'E': 'S', 'D': 'R', 'L': 'W', 'H': 'A'}
37.95,PLETERCETHEPE,AWHSHOEHSTHAH,17x?,(2, 3),{'A': 'P', 'W': 'L', 'H': 'E', 'S': 'T', 'O': 'R', 'E': 'C', 'T': 'H'}
37.98,SONERETHEENSH,LINRCRPORRNLO,11x?,(1, 4),{'L': 'S', 'I': 'O', 'N': 'N', 'R': 'E', 'C': 'R', 'P': 'T', 'O': 'H'}
37.99,DENCHARECONDE,FDIOPAHDOLIFD,11x?,(2, 5),{'F': 'D', 'D': 'E', 'I': 'N', 'O': 'C', 'P': 'H', 'A': 'A', 'H': 'R', 'L': 'O'}
38.06,ULDTHERATEDUA, IHTEOANTOH N,11x?,(1, 3),{' ': 'U', 'I': 'L', 'H': 'D', 'T': 'T', 'E': 'H', 'O': 'E', 'A': 'R', 'N': 'A'}
38.19,ADESECONSTEAN,OTSHSERUHISOU,24x?,(1, 2),{'O': 'A', 'T': 'D', 'S': 'E', 'H': 'S', 'E': 'C', 'R': 'O', 'U': 'N', 'I': 'T'}
