score,plaintext,segment,h,step,key
36.15,BLETHEGOTHEBO,DTRASREYASRDY,20x?,(1, 2),{'D': 'B', 'T': 'L', 'R': 'E', 'A': 'T', 'S': 'H', 'E': 'G', 'Y': 'O'}
36.19,OMPETHERESPOR,ASEDHUDBDCEAB,21x?,(1, 3),{'A': 'O', 'S': 'M', 'E': 'P', 'D': 'E', 'H': 'T', 'U': 'H', 'B': 'R', 'C': 'S'}
37.16,THANATIONEATO, BEAE HRAOE R,11x?,(2, 5),{' ': 'T', 'B': 'H', 'E': 'A', 'A': 'N', 'H': 'I', 'R': 'O', 'O': 'E'}
37.29,ALETOUNDTHEAD, OCEDSNIELC I,11x?,(1, 2),{' ': 'A', 'O': 'L', 'C': 'E', 'E': 'T', 'D': 'O', 'S': 'U', 'N': 'N', 'I': 'D', 'L': 'H'}
37.33,THATTOSITHATI,EOHEERASEOHES,21x?,(1, 3),{'E': 'T', 'O': 'H', 'H': 'A', 'R': 'O', 'A': 'S', 'S': 'I'}
37.34,SENTHEASTENSS,ENDOXNVEONDEE,17x?,(1, 4),{'E': 'S', 'N': 'E', 'D': 'N', 'O': 'T', 'X': 'H', 'V': 'A'}
37.45,NMANDURINGANI,OTEOFCSHOREOH,20x?,(1, 4),{'O': 'N', 'T': 'M', 'E': 'A', 'F': 'D', 'C': 'U', 'S': 'R', 'H': 'I', 'R': 'G'}
37.49,NHETHOMETHENE,TOEAOWIEAOETE,24x?,(1, 4),{'T': 'N', 'O': 'H', 'E': 'E', 'A': 'T', 'W': 'O', 'I': 'M'}
37.51,NCANTSTINGANI,NV NTDTONA NO,15x?,(2, 5),{'N': 'N', 'V': 'C', ' ': 'A', 'T': 'T', 'D': 'S', 'O': 'I', 'A': 'G'}
37.68,AKEASIONAMEAN,HRNHWYSOHDNHO,19x?,(1, 2),{'H': 'A', 'R': 'K', 'N': 'E', 'W': 'S', 'Y': 'I', 'S': 'O', 'O': 'N', 'D': 'M'}
37.77,TMEANDSTARETT,SGRTLNDSTORSS,19x?,(1, 4),{'S': 'T', 'G': 'M', 'R': 'E', 'T': 'A', 'L': 'N', 'N': 'D', 'D': 'S', 'O': 'R'}
37.82,NCONSTHENYONE,TORTFMUSTNRTS,19x?,(2, 3),{'T': 'N', 'O': 'C', 'R': 'O', 'F': 'S', 'M': 'T', 'U': 'H', 'S': 'E', 'N': 'Y'}
37.90,PLETECORTHEPR,IYEOEDAUONEIU,24x?,(1, 3),{'I': 'P', 'Y': 'L', 'E': 'E', 'O': 'T', 'D': 'C', 'A': 'O', 'U': 'R', 'N': 'H'}
38.00,SWANTEDINGASI,SB MAVYEMU SE,15x?,(2, 5),{'S': 'S', 'B': 'W', ' ': 'A', 'M': 'N', 'A': 'T', 'V': 'E', 'Y': 'D', 'E': 'I', 'U': 'G'}
38.05,ANNETHESEENAS,T  NGANSNN TS,17x?,(2, 3),{'T': 'A', ' ': 'N', 'N': 'E', 'G': 'T', 'A': 'H', 'S': 'S'}
38.14,GONTAGETTINGT, AIEH NEETI E,11x?,(2, 3),{' ': 'G', 'A': 'O', 'I': 'N', 'E': 'T', 'H': 'A', 'N': 'E', 'T': 'I'}
38.18,ILLANTONALLIN,N  EIHOIE  NI,17x?,(2, 5),{'N': 'I', ' ': 'L', 'E': 'A', 'I': 'N', 'H': 'T', 'O': 'O'}
38.37,ORETHEINTLEON,LRHAEHGTADHLT,20x?,(1, 2),{'L': 'O', 'R': 'R', 'H': 'E', 'A': 'T', 'E': 'H', 'G': 'I', 'T': 'N', 'D': 'L'}
