restart,score,plaintext
446,-183.3123329305225,WHLHGURWBBZBFIWPBGVGDTWITHVNYAR
483,-183.3123329305225,NCPCISONVVQVEFNDVIWITHNFHCWGBZO
496,-183.3123329305225,AKZKQDHABBVBGSAEBQLQFXASXKLWITH
39,-183.31233293052253,HQMQEBSHWWUWITHFWEJEPLHTLQJXCDS
56,-183.31233293052253,HKQKVSCHWWYWITHFWVOVXDHTDKOMNPC
57,-183.31233293052253,MJBJTXQMIIKIARMWITHTCUMRUJHDYSQ
88,-183.31233293052253,OIWITHAODDCDRYOUDTVTGKOYKIVPXBA
126,-183.31233293052253,ZIWITHRZUUBUQDZGUTXTYCZDCIXLPVR
133,-183.31233293052253,HCLCWITHXXVXOMHEXWZWUQHMQCZAYKT
179,-183.31233293052253,PWNWITHPQQDQUYPZQISIFLPYLWSAJOH
184,-183.31233293052253,QMGMTSPQIIVICYQWITHTFJQYJMHDENP
194,-183.31233293052253,PIWITHGPJJKJYQPVJTMTFZPQZIMDCNG
230,-183.31233293052253,WAOAHSEWTTQTCFWITHVHMUWFUAVDYKE
248,-183.31233293052253,KRFRPGXKIIWITHKNIPJPMYKHYRJZCBX
250,-183.31233293052253,TDSDYQPTGGFGWITHGYVYCOTIODVRUKP
263,-183.31233293052253,ICYCSFQIHHRHPWITHSDSUBIWBCDLVXQ
273,-183.31233293052253,HMQMKZSHWWUWITHDWKVKPGHTGMVAXES
289,-183.31233293052253,HQJQZDAHWWBWITHCWZUZEGHTGQUXFYA
335,-183.31233293052253,TDFDALGTQQCQWITHQAMAVOTIODMKPBG
338,-183.31233293052253,TADAEJCTSSMSWITHSEZENXTIXAZQVFC
391,-183.31233293052253,TKSKZWITHHXHOMTGHZNZJLTMLKNPCEI
432,-183.31233293052253,INFNAQXIHHPHLWITHAOAEDIWDNOSZUX
440,-183.31233293052253,LYVYDACLIIWITHLQIDPDNOLHOYPJUEC
457,-183.31233293052253,LWVWITHLXXQXJALZXIYIONLANWYUMEH
458,-183.31233293052253,HBOBCDLHWWXWITHGWCECFMHTMBEQYJL
462,-183.31233293052253,HPJPWITHAAYARLHCAWMWDVHLVPMFQNT
465,-183.31233293052253,HUZUWITHKKOKGLHQKWMWYJHLJUMVBNT
469,-183.31233293052253,DIWITHGDRRSRKQDURTLTAXDQXILJFZG
477,-183.31233293052253,BWOWITHBAAPAZDBSAIJIGNBDNWJYCRH
482,-183.31233293052253,JWVWITHJXXSXPFJKXIZIONJFNWZEYQH
495,-183.31233293052253,FWAWITHFBBCBMVFEBIGIONFVNWGSZJH
3,-188.1736702327651,LYFYEJWLHHIHAKLPHEREDGLKGYRZVOW
4,-188.1736702327651,HEREUVXHWWSWYMHZWUGUKFHMFEGIJCX
7,-188.1736702327651,HEREBQXHYYNYITHFYBJBAVHTVEJLPKX
8,-188.1736702327651,HEREAQFHYYDYCOHVYALAUNHONELWPBF
13,-188.1736702327651,GYDYEAQGHHIHBPGVHEREXFGPFYRKZMQ
15,-188.1736702327651,USQSEYFUHHIHWPUXHEREKDUPDSRCGNF
23,-188.1736702327651,HEREYVZHBBDBOLHGBYSYFAHLAESJUMZ
45,-188.1736702327651,AOLOEUTAHHZHFDASHEREBYADYORGJIT
51,-188.1736702327651,DMSMEOWDHHZHYIDNHEREXCDICMRGVFW
67,-188.1736702327651,VLSLEYJVHHKHWBVZHEREOFVBFLRGCNJ
78,-188.1736702327651,HEREZFDHLLULXSHOLZJZPBHSBEJIWVD
81,-188.1736702327651,WDPDESIWHHNHMLWGHEREUOWLODRXZCI
89,-188.1736702327651,HEREVKFHQQLQXMHZQVBVPOHMOEBWDIF
90,-188.1736702327651,HEREFSOHBBWBULHVBFXFZCHLCEXYGKO
104,-188.1736702327651,HEREZSUHTTQTDVHXTZWZMGHVGEWNFOU
123,-188.1736702327651,IPQPEAGIHHDHFNICHEREOSINSPRKMUG
138,-188.1736702327651,HERENMDHKKBKQCHAKNYNLSHCSEYGOVD
139,-188.1736702327651,HEREINUHSSASKMHDSIQIBZHMZEQJYPU
140,-188.1736702327651,SLBLEVJSHHQHXGSZHEREWYSGYLROUIJ
141,-188.1736702327651,NFOFESQNHHIHWXNJHEREBPNXPFRVCUQ
146,-188.1736702327651,NMIMEJONHHXHUBNVHERESLNBLMRKZDO
153,-188.1736702327651,AQVQENBAHHFHPUAMHEREIGAUGQRDSWB
165,-188.1736702327651,NBMBEZPNHHDHLQNYHEREKXNQXBRUVJP
176,-188.1736702327651,HEREBICHOONODVHJOBWBPFHVFEWLMKC
181,-188.1736702327651,HEREUFTHCCPCYWHMCUJUDZHWZEJSXVT
197,-188.1736702327651,HEREQVWHOOMONIHUOQAQSZHIZEAFYBW
217,-188.1736702327651,HEREWNLHVVOVAYHKVWBWGZHYZEBJCPL
258,-188.1736702327651,ZMYMEKFZHHXHICZJHERESAZCAMRPLBF
260,-188.1736702327651,YGMGELIYHHFHVOYNHEREXBYOBGRKSAI
285,-188.1736702327651,YIJIEWKYHHPHLXYVHEREFAYXAIRNZSK
297,-188.1736702327651,HEREMJOHNNBNPYHZNMFMTSHYSEFGQVO
299,-188.1736702327651,WGAGENBWHHKHFXWMHEREVQWXQGROJSB
304,-188.1736702327651,HEREKBVHGGFGCXHPGKMKAQHXQEMILNV
307,-188.1736702327651,KLFLEVGKHHYHJXKUHERENMKXMLRCQIG
314,-188.1736702327651,AQIQEFMAHHPHSKAGHERECZAKZQRWLUM
316,-188.1736702327651,HEREUSBHAAOAFVHDAUKUGLHVLEKXZPB
317,-188.1736702327651,HEREOVSHBBMBWDHUBOXOFNHDNEXACKS
321,-188.1736702327651,HEREPDNHTTOTUCHWTPAPMLHCLEASKGN
323,-188.1736702327651,HERECWIHFFJFOQHZFCXCMUHQUEXVBYI
327,-188.1736702327651,FDSDEJZFHHWHCVFAHEREXIFVIDRLUYZ
334,-188.1736702327651,QXKXEDVQHHZHNIQGHEREFOQIOXRUABV
341,-188.1736702327651,HEREDXWHKKOKYMHAKDUDSFHMFEUQZVW
350,-188.1736702327651,NZXZESWNHHKHDQNGHEREVYNQYZRPJOW
362,-188.1736702327651,HEREQLDHOOUOVJHBOQCQGIHJIECYNFD
363,-188.1736702327651,BUMUEXJBHHPHDQBSHEREWIBQIURZVLJ
390,-188.1736702327651,HEREMCAHKKWKJXHBKMQMGVHXVEQYSIA
397,-188.1736702327651,HEREWXIHQQCQADHZQWUWFGHDGEUPYLI
403,-188.1736702327651,ALYLEKVAHHNHXMAOHERESUAMULRDIFV
405,-188.1736702327651,HEREYVFHWWLWJGHDWYUYBNHGNEUXOIF
411,-188.1736702327651,HEREFKPHAAQAGXHZAFUFLIHXIEUBDJP
425,-188.1736702327651,COJOEUKCHHIHMSCQHEREAGCSGORFZDK
427,-188.1736702327651,HEREVQKHYYSYDOHFYVAVCXHOXEANMLK
431,-188.1736702327651,BNFNEQCBHHOHVPBGHEREIKBPKNRXJMC
452,-188.1736702327651,DIVIEGCDHHUHBFDWHEREYMDFMIRQLAC
456,-188.1736702327651,HEREVXJHLLALZPHQLVYVIKHPKEYOMDJ
