restart,score,plaintext
76,-183.3123329305225,XTBTZFRXUUYUSWXJUZHZQIXWITHONGR
77,-215.15842251088048,FGPGOJYFIIWIAXFMIOCOQNFXNGCURKY
78,-215.15842251088048,FGDGEVYFWWQWIAFTWEZECNFANGZPSLY
79,-156.3275806524071,HEREWKGHSSQSFYHBSWNWITHYTENZAPG
80,-215.15842251088048,LUJUDTKLYYIYNPLFYDSDQBLPBUSGCWK
81,-215.15842251088048,VTNTCRWVIIMIKXVAICFCPJVXJTFLZUW
82,-188.1736702327651,HEREOCFHQQAQDMHTQOWOLUHMUEWBGVF
83,-215.15842251088048,VNCNLMXVQQYQTUVWQLKLOHVUHNKSAFX
84,-151.11947865596866,SVZVEOQSHHIHNASTHEREBFSAFVRGYPQ
85,-208.05796925088183,YPSPVMCYIITIONYXIVFVRAYNAPFLQZC
86,-215.15842251088048,IJRJTZXICCSCELIVCTUTMQILQJUGFDX
87,-188.1736702327651,CUXUEBYCHHKHAICWHEREQZCIZURVJPY
88,-208.05796925088183,YAPAQWCYVVLVJFYSVQTQEXYFXATIONC
89,-208.05796925088183,NSKSYWCNTTDTIONHTYZYMUNOUSZVGRC
90,-215.15842251088048,QZSZAJLQYYTYEWQDYAMAPIQWIZMOBUL
91,-208.10423093408406,YTWTXMNYFFSFJUYPFXHXCZYUZTHERBN
92,-215.15842251088048,XZWZVCRXSSISGQXJSVFVKAXQAZFBUOR
93,-215.15842251088048,ZXHXPNTZKKEKSAZDKPLPWVZAVXLQBOT
94,-215.15842251088048,LODOGVELRRWRYTLNRGUGFCLTCOUAJKE
95,-215.15842251088048,KZMZRHUKYYVYIQKBYRARTLKQLZAPSXU
96,-208.05796925088183,BXAXMZHBIITIONBCIMUMRDBNDXUPGKH
97,-183.3123329305225,STLTMQBSNNANZWSONMHMVISWITHGFXB
98,-215.15842251088048,KWJWFCVKZZSZHXKEZFDFNBKXBWDOQUV
99,-215.15842251088048,SJMJLFKSUUHUGYSPULZLXTSYTJZQDCK
100,-215.15842251088048,PEYEQGSPMMTMIOPCMQFQVUPOUEFZLKS
101,-188.1736702327651,HERELGYHFFMFJIHBFLVLNOHIOEVAXZY
102,-151.11947865596866,JFLFEZPJHHDHXQJTHERESUJQUFRKINP
103,-188.1736702327651,HEREMWNHLLOLUPHYLMKMGFHPFEKZQVN
104,-208.05796925088183,NYWYSUCNTTBTIONKTSASJDNODYALRPC
105,-163.31233293052253,RWPWITHREEQEVKRAEIXIYDRKDWXLUFH
106,-215.15842251088048,XRCRNYPXGGKGOWXVGNSNUDXWDRSFQZP
107,-215.15842251088048,PXFXVMCPAAOAWKPDAVZVNHPKHXZUGJC
108,-183.31233293052253,ILULGOQIHHDHEWITHGNGSXIWXLNPJYQ
109,-215.15842251088048,QLZLBKCQOOPOSUQROBGBHXQUXLGWMNC
110,-215.15842251088048,QGRGNZWQEEMEXBQPENLNISQBSGLOUDW
111,-215.15842251088048,YVZVJWKYXXQXTEYNXJPJAUYEUVPMOCK
112,-215.15842251088048,FHSHJKZFPPAPGOFLPJXJRDFODHXMIWZ
113,-188.1736702327651,HERESDKHGGJGCOHFGSZSPVHOVEZLXBK
114,-215.15842251088048,RJQJCPERMMYMTXRZMCLCSDRXDJLKGAE
115,-183.31233293052253,HPDPWITHBBSBRLHGBWJWUZHLZPJAONT
116,-215.15842251088048,JNUNRLTJFFAFYDJVFRMRZBJDBNMSPWT
117,-215.15842251088048,CTUTSEGCNNWNZVCQNSJSIFCVFTJRYBG
118,-215.15842251088048,OZGZYDSOKKVKFCOLKYAYBNOCNZARIWS
119,-215.15842251088048,XWRWFTCXLLALBGXKLFQFENXGNWQVDJC
120,-215.15842251088048,PUWUQDKPAAHAVOPJAQCQLZPOZUCYBFK
121,-183.3123329305225,GSPSIRLGAAFAKMGYAIWITHGMHSWOCZL
122,-215.15842251088048,CURUDTLCMMAMJNCKMDZDHBCNBUZFSQL
123,-215.15842251088048,EBJBFQOEVVZVKHESVFMFYWEHWBMDNPO
124,-215.15842251088048,PGTGYORPAAHAJLPBAYKYQNPLNGKFWDR
125,-208.2702992035826,DGAGKYXDZZVZJBDOZKHKNIDBIGHTSLX
126,-215.15842251088048,AFTFWBLAIIYIKCAVIWRWOGACGFRJXQL
127,-215.15842251088048,NJGJYQONAAKALMNVAYDYESNMSJDRUCO
128,-215.15842251088048,IKEKQZBICCYCJNIMCQGQDUINUKGHOAB
129,-215.15842251088048,ZXNXMOHZBBSBVAZYBMKMQDZADXKTLRH
130,-208.10423093408406,EKUKGXPEWWZWTHERWGCGMDEHDKCYJNP
131,-215.15842251088048,KVLVEMZKXXCXDGKRXEOEQIKGIVOAUYZ
132,-215.15842251088048,LKCKVXOLIIHIPJLFIVYVBSLJSKYDQUO
133,-188.1736702327651,CLALEPXCHHZHWOCKHEREIFCOFLRSJBX
134,-208.05796925088183,ZUCUGHBZVVYVXJZQVGTGFKZJKUTIONB
135,-183.3123329305225,LDYDIVCLOOQORSLXOIWITHLSHDWZNEC
136,-215.15842251088048,NJMJPTKNUUSULANYUPGPEWNAWJGCDXK
137,-208.1042309340841,DTXTHERDSSPSIQDZSHLHOADQATLKUBR
138,-215.15842251088048,UWYWCNXUGGTGJAUOGCBCLKUAKWBRSQX
139,-215.15842251088048,NAVAQHJNCCUCXGNPCQLQKYNGYALZDFJ
140,-158.05796925088183,NYXYTEGNSSBSJDNCSTATIONDOYAWFQG
141,-183.3123329305225,HQYQWDJHZZMZOBHCZWLWITHBTQLKUVJ
142,-208.05796925088183,TNZNCLWTJJYJKITPJCECROTIONEXQFW
143,-215.15842251088048,ADHDOTQAPPEPIYAZPOBOFVAYVDBJCSQ
144,-188.1736702327651,HEREBNUHCCKCQYHXCBABOZHYZEAJGWU
145,-215.15842251088048,JDWDBUEJMMAMSTJVMBFBHLJTLDFPNCE
146,-208.05796925088183,TBABNUFTOOXORZTIONQNGETZEBQCSPF
147,-215.15842251088048,YAPAJNVYIIRILBYSIJQJTMYBMAQKDUV
148,-183.31233293052253,TOLOXKBTCCFCWITHCXGXVYTIYOGJMEB
149,-215.15842251088048,DTOTYLFDEEBEVSDKEYHYAIDSITHCXJF
150,-188.1736702327651,HEREMSKHAALAXOHIAMWMFGHOGEWCJPK
151,-208.2702992035826,CIJILPECKKYKXQCFKLGLAVCQVIGHTOE
152,-188.1736702327651,GANAEPVGHHXHDSGMHEREFJGSJARKLOV
153,-215.15842251088048,WEXESQCWMMLMTUWVMSYSDGWUGEYAFBC
154,-195.15842251088048,RAYAUTHREEZEPDRSEUOUNXRDXAOKLJH
155,-183.3123329305225,PODOIJAPKKFKULPSKIWITHPLHOWMBNA
156,-215.15842251088048,NDXDSLRNCCFCKENYCSVSWQNEQDVZUIR
157,-208.2702992035826,HLFLBIGHTTUTAOHETBWBSMHOMLWQPZG
158,-208.05796925088183,IXJXBZQINNCNKTIONBEBVGITGXELYMQ
159,-183.31233293052253,IXLXODVIHHGHEWITHONOFMIWMXNPASV
160,-208.2702992035826,LJUJHEZLGGFGMQLIGHTHBKLQKJTPOSZ
161,-183.31233293052253,IFDFMOBIHHGHAWITHMSMEQIWQFSYPXB
162,-156.3275806524071,HEREWITHQQBQUCHNQWOWGVHCVEOYALT
163,-188.1736702327651,CNANEJVCHHSHQUCDHEREYMCUMNRXIZV
164,-215.15842251088048,QXRXGOPQCCACBHQTCGDGMWQHWXDNYKP
165,-215.15842251088048,BWKWQRGBAASAOEBZAQVQUCBECWVYTXG
166,-183.31233293052253,QGYGOASQIIWITHQCIONOBLQHLGNJMDS
167,-188.1736702327651,SDZDEKGSHHBHOPSYHEREWCSPCDRVUAG
168,-215.15842251088048,JZDZUQSJNNBNVOJYNUKUPLJOLZKIEWS
169,-215.15842251088048,QJYJTIBQAADAUNQFATCTELQNLJCPWMB
170,-215.15842251088048,LAZABOELYYTYKSLMYBFBXWLSWAFCNJE
171,-208.10423093408406,DHKHVZPDXXSXBODFXVEVNTDOTHERQGP
172,-215.15842251088048,RLYLOGXRIIPIDJRWIOSONKRJKLSAVQX
173,-183.31233293052253,TMYMCKQTGGSGWITHGCZCVBTIBMZUXOQ
174,-215.15842251088048,XBQBUJAXRRCRYVXKRUZUTHXVHBZNSMA
175,-183.31233293052253,AWYWITHAZZOZXUABZINIJLAULWNQMVH
176,-188.1736702327651,HEREUVKHCCYCZBHJCULUPGHBGELIQNK
177,-215.15842251088048,WVKVFRCWJJPJAYWHJFZFDSWYSVZMOIC
178,-215.15842251088048,ABMBJYDAQQVQUCAHQJFJIWACWBFPKLD
179,-215.15842251088048,UKEKDOYUIICIZFUXIDTDRSUFSKTLAMY
180,-215.15842251088048,JVLVNWOJUUIUMCJEUNYNXHJCHVYBGZO
181,-188.1736702327651,HERENDSHYYLYCQHVYNTNJWHQWETUBGS
182,-215.15842251088048,YAHAUSKYTTJTNXYWTUGULMYXMAGVOCK
183,-215.15842251088048,NMFMYZCNPPWPSQNTPYLYKONQOMLAVGC
184,-188.1736702327651,HEREWBVHAAKAXGHPAWIWCNHGNEIQYZV
185,-215.15842251088048,BZQZPRCBOOEOJABNOPTPGWBAWZTFSKC
186,-188.1736702327651,HEREWQZHBBXBIGHUBWJWLPHGPEJYODZ
187,-188.1736702327651,HEREGIXHCCLCYJHACGWGVPHJPEWUNKX
188,-188.1736702327651,HEREABTHUUDUZKHNUAJAYQHKQEJFSPT
189,-215.15842251088048,OZHZTJPOVVCVEXOAVTYTBMOXMZYDQFP
190,-156.3275806524071,HEREYXBHWWVWITHPWYQYGKHTKEQDFOB
191,-215.15842251088048,QNGNWUHQEEXEIDQVEWPWCLQDLNPASMH
192,-188.1736702327651,HEREKJLHPPUPCFHAPKGKQYHFYEGZMWL
193,-215.15842251088048,ZITISLYZXXMXPGZUXSKSAFZGFIKWEJY
194,-183.3123329305225,YIGIMQFYDDCDUPYODMTMSWYPWITHAEF
195,-183.3123329305225,HDGDWYPHMMBMCFHUMWZWITHFTDZNSEP
196,-215.15842251088048,PNSNGVHPYYZYKMPTYGDGCBPMBNDXROH
197,-183.3123329305225,PSLSUQHPFFAFZGPDFUVUROPGOSVWITH
198,-215.15842251088048,WGDGASCWXXRXQPWOXAIANJWPJGIBMVC
199,-208.05796925088183,RTGTVKLRMMBMZARYMVIVXWRAWTIONJL
200,-151.11947865596866,BYNYEPIBHHUHADBTHEREJVBDVYRQKSI
201,-215.15842251088048,LPYPBIOLMMXMVKLTMBSBEWLKWPSGFJO
202,-176.25814135372607,ENLNIPAESSBSJREUSIWITHERHNWZMKA
203,-208.05796925088183,ILQLMWBINNSNGTIONMFMKCITCLFEVJB
204,-208.2702992035826,VMOMCBAVLLULPDVXLCICYSVDSMIGHTA
205,-208.05796925088183,NAVABDMNTTWTIONFTBCBSYNOYACRKEM
206,-181.28554692546717,HEREFIGHTTNTZUHOTFKFJDHUDEKXBAG
207,-151.11947865596866,JODOEZMJHHBHVLJTHERENSJLSORKGCM
208,-188.1736702327651,UKDKESZUHHIHAMUWHEREFOUMOKRQVCZ
209,-215.15842251088048,ELMLFJOEVVCVSPEIVFYFBGEPGLYDQNO
210,-188.1736702327651,ZQJQEKFZHHBHSIZMHEREVDZIDQRUYGF
211,-183.31233293052253,HFSFWITHQQMQXLHBQWUWCKHLKFUNGRT
212,-208.2702992035826,GSUSRCFGTTNTPIGHTRJRLBGIBSJYAZF
213,-208.05796925088183,JYVYQXNJDDEDBZJCDQFQPGJZGYFTION
214,-208.05796925088183,IFAFLBKINNSNYTIONLVLRMITMFVPWJK
215,-188.1736702327651,HERELJCHNNUNBYHGNLSLXZHYZESOPDC
216,-215.15842251088048,IFZFXSPIJJBJVUIMJXQXALIULFQEKCP
217,-188.1736702327651,CWKWEOPCHHNHFTCLHEREYQCTQWRDBZP
218,-215.15842251088048,OBABWCROIIHIZMOQIWFWXVOMVBFSUJR
219,-215.15842251088048,QFOFUALQMMJMBZQXMUEUSCQZCFEIVGL
220,-215.15842251088048,CSMSKTWCPPLPRXCJPKIKOGCXGSIZFEW
221,-188.1736702327651,QILIENAQHHWHVFQJHERESDQFDIRPOMA
