generation,score,plaintext
79,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
80,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
81,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
82,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
83,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
84,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
85,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
86,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
87,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
88,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
89,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
90,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
91,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
92,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
93,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
94,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
95,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
96,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
97,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
98,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
99,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
100,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
101,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
102,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
103,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
104,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
105,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
106,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
107,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
108,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
109,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
110,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
111,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
112,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
113,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
114,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
115,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
116,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
117,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
118,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
119,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
120,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
121,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
122,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
123,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
124,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
125,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
126,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
127,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
128,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
129,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
130,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
131,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
132,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
133,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
134,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
135,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
136,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
137,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
138,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
139,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
140,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
141,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
142,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
143,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
144,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
145,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
146,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
147,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
148,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
149,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
150,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
151,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
152,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
153,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
154,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
155,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
156,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
157,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
