restart,score,plaintext
76,-215.15842251088048,ITQTMZXIKKEKFUIOKMYMVLIULTYSACX
77,-181.07321697276643,HEREUYLHIITIONHCIUBUDGHNGEBAJFL
78,-188.1736702327651,HEREZFDHLLULXSHOLZJZPBHSBEJIWVD
79,-215.15842251088048,TIPIJMVTCCDCGKTFCJOJWZTKZIORQLV
80,-215.15842251088048,YIZIJBMYPPFPQDYSPJWJROYDOIWAGEM
81,-188.1736702327651,WDPDESIWHHNHMLWGHEREUOWLODRXZCI
82,-208.2702992035826,ITUTMFKIBBZBVGIQBMOMEHIGHTOPJAK
83,-215.15842251088048,DPWPXORDVVGVAZDEVXCXMBDZBPCKLNR
84,-208.05796925088185,OCGCQTIONNBNMVOPNQYQXKOVKCYUEAI
85,-183.3123329305225,TZAZQKBTCCFCXHTECQOQWITHIZOGDLB
86,-151.11947865596866,ZXYXEAWZHHOHDNZTHEREUCZNCXRBPGW
87,-215.15842251088048,PYNYVDSPRRFRHWPGRVXVMCPWCYXQAIS
88,-183.31233293052253,OIWITHAODDCDRYOUDTVTGKOYKIVPXBA
89,-188.1736702327651,HEREVKFHQQLQXMHZQVBVPOHMOEBWDIF
90,-188.1736702327651,HEREFSOHBBWBULHVBFXFZCHLCEXYGKO
91,-215.15842251088048,NVBVESANLLMLKTNRLEXEFUNTUVXIWCA
92,-215.15842251088048,WPTPXLAWZZOZYGWBZXMXQKWGKPMCJIA
93,-215.15842251088048,ZXMXOYFZQQVQDSZEQOJOPGZSGXJCNBF
94,-215.15842251088048,ZKJKGTSZVVOVBHZXVGPGQMZHMKPUNYS
95,-215.15842251088048,FJHJPNUFBBSBWCFEBPIPXQFCQJIZVLU
96,-215.15842251088048,RBNBGLYROOCOQKRPOGIGFJRKJBISAXY
97,-215.15842251088048,PLULAXRPGGBGWDPZGAYANIPDILYTSMR
98,-215.15842251088048,XURUJKEXVVMVGAXIVJYJZPXAPUYQBWE
99,-215.15842251088048,IDSDUTZIBBQBOWIPBUGUJAIWADGCXVZ
100,-215.15842251088048,EDFDXMPELLCLQNEVLXKXSYENYDKUTAP
101,-151.11947865596866,ZIFIEAPZHHOHUMZTHEREDBZMBIRYCJP
102,-215.15842251088048,GCTCEABGKKYKQWGUKESEMOGWOCSXFJB
103,-208.10423093408406,TMXMRDJTEEQENUTHERLRKYTUYMLSGCJ
104,-188.1736702327651,HEREZSUHTTQTDVHXTZWZMGHVGEWNFOU
105,-215.15842251088048,GHPHYEKGMMLMJBGOMYXYAVGBVHXDSNK
106,-215.15842251088048,LIMIAQDLGGPGWOLNGAZAYSLOSIZBFXD
107,-183.3123329305225,FIAISPYFZZJZGQFDZSTSBWFQWITHOXY
108,-183.3123329305225,CZLZVJHCQQMQSDCOQVUVRGCDGZUWITH
109,-215.15842251088048,JHWHCOIJLLDLRPJXLCZCVKJPKHZGSAI
110,-215.15842251088048,YZBZQKLYMMXMGFYJMQUQDSYFSZUHPAL
111,-215.15842251088048,UKBKIWFUPPGPNLUCPIEISTULTKEDQRF
112,-215.15842251088048,NYUYCHWNJJQJSPNOJCKCMVNPVYKIEAW
113,-215.15842251088048,WTMTVHGWFFLFYZWSFVNVXRWZRTNJKQG
114,-215.15842251088048,YXSXHMCYJJDJWAYUJHNHEGYAGXNVLPC
115,-156.3275806524071,HEREPFSHWWNWITHUWPOPYMHTMEOXJKS
116,-215.15842251088048,JNQNABFJOOEOSUJVOAXAWYJUYNXDCZF
117,-119.27338907561068,ILDLEBFIHHYHNWITHERESQIWQLRJGKF
118,-181.07321697276643,HEREAYNHVVZVCKHSVAJALPHKPEJTION
119,-215.15842251088048,IFLFBGUICCWCZPIECBHBAMIPMFHYDQU
120,-181.28554692546717,HEREXIGHTTLTQUHPTXAXKVHUVEACMZG
121,-215.15842251088048,QRJRCSNQFFPFWDQMFCXCBHQDHRXIGVN
122,-151.11947865596866,MKZKEXNMHHDHAFMTHEREBPMFPKRSVUN
123,-188.1736702327651,IPQPEAGIHHDHFNICHEREOSINSPRKMUG
124,-215.15842251088048,IABAZPJIGGWGDUIEGZQZFXIUXAQLNCJ
125,-215.15842251088048,LMHMCNXLUUVUPWLKUCZCAILWIMZJBEX
126,-183.31233293052253,ZIWITHRZUUBUQDZGUTXTYCZDCIXLPVR
127,-208.10423093408406,EGAGUBDEYYPYLREWYUVUTHERHGVCJND
128,-215.15842251088048,LUXUSDPLKKEKIHLYKSASMCLHCUAZQTP
129,-215.15842251088048,LXBXNKTLSSCSOZLASNGNVWLZWXGPUJT
130,-215.15842251088048,YAWARTZYCCJCHFYBCRQRMXYFXAQDVNZ
131,-215.15842251088048,USNSAPKUFFGFBDUTFAMAIZUDZSMVWLK
132,-215.15842251088048,GJAJMKLGDDWDVNGPDMYMOZGNZJYTBFL
133,-183.31233293052253,HCLCWITHXXVXOMHEXWZWUQHMQCZAYKT
134,-215.15842251088048,OZLZGNKORRVRDAOMRGCGPBOABZCUIQK
135,-215.15842251088048,LMVMGSFLDDCDIQLUDGZGHBLQBMZYJWF
136,-215.15842251088048,FNONJCGFSSWSKXFHSJUJVDFXDNUYBIG
137,-215.15842251088048,BUJUWTIBAAYAVMBQAWLWGKBMKULEDOI
138,-188.1736702327651,HERENMDHKKBKQCHAKNYNLSHCSEYGOVD
