restart,score,plaintext
76,-183.31233293052253,KOIYEWKDZMHSQWLDWITHDGJYICCMKIK
77,-183.31233293052253,KZMFAIKHQNDCWITHIMJDHOGFMXXNKMK
78,-215.15842251088048,ONBVDHOUZMEYAHQUHBFEUJSVBKKMOBO
79,-208.05796925088183,GVOZPIGTHQEULISTIONETDAZOYYQGOG
80,-208.10423093408406,SMEYVHSTKQUWPHXTHERUTLDYEFFQSES
81,-183.31233293052253,DFLKXPDZSWITHPJZPLCIZBGKLEEWDLD
82,-208.10423093408406,AXEHMJALWKVBDJZLJEYVLFTHERRKAEA
83,-176.2581413537261,VSMQDNVWITHERNJWNMOHWCXQMGGTVMV
84,-183.31233293052253,MEZNDHMGYLWITHBGHZOWGJPNZVVLMZM
85,-208.05796925088185,OMGJTIONRFHDYIVNIGSHNQXJGCCFOGO
86,-183.31233293052253,CFVSLBCWITHDOBAWBVKHWUMSVRRTCVC
87,-176.2581413537261,NDGSAENBMWITHERBEGKIBZYSGPPWNGN
88,-215.15842251088048,LWDMFULCVBAOSUJCUDHACPTMDEEBLDL
89,-215.15842251088048,THNPYMTEXIBKJMCEMNZBEFQPNSSITNT
90,-183.3123329305225,SGHTMYSVNXPDUYQVYHOPVWITHEEXSHS
91,-215.15842251088048,FRXVIAFYQLNOBAZYAXGNYWDVXJJLFXF
92,-215.15842251088048,DZXPNTDBWEYQFTCBTXGYBVSPXKKEDXD
93,-208.05796925088183,ORNKXAOCZIFUEADCANVFCBMKNTTIONO
94,-215.15842251088048,HSVYBNHOTRWMKNLONVAWOPUYVQQRHVH
95,-151.11947865596866,EFROPGEQKHZMYGCQGRWZQXLORTTHERE
96,-183.3123329305225,RXMDKSRICUWGASNISMJWITHDMQQURMR
97,-176.25814135372607,YUBRZFYTKPIOQFSTFBWITHERBCCPYBY
98,-215.15842251088048,QALJPZQMXOWNTZCMZLVWMESJLFFOQLQ
99,-208.10423093408406,ZOGFPYZHDQTWUYKHYGMTHERFGXXQZGZ
100,-208.05796925088183,JKNGQOJIWBSXUOTIONVSIYEGNDDBJNJ
101,-215.15842251088048,YHZLXVYNUBPRCVGNVZSPNMTLZAABYZY
102,-183.31233293052253,UMHJATUIXOPYDTWITHZPILGJHRROUHU
103,-215.15842251088048,WGBQZCWPXNMAUCSPCBIMPJEQBFFNWBW
104,-215.15842251088048,UMZCRLUDEWOAQLNDLZBODSYCZIIWUZU
105,-215.15842251088048,XBHYOMXRNAFPIMKRMHQFRCUYHSSAXHX
106,-215.15842251088048,VFRYSXVENPAJMXOEXRBAETWYRGGPVRV
